HH-pol,HV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,NDVI,SM1 (%),Crop Name,label
-10.7691,-18.3809,7.61182,1.2246467991473532e-16,-1.0,5,0.2165505290031433,10.9,Fallow,Medium
-10.1175,-17.9014,7.78398,1.2246467991473532e-16,-1.0,5,0.1163855418562889,11.1666666666667,Fallow,Medium
-9.6351,-14.1782,4.5430600000000005,1.2246467991473532e-16,-1.0,5,0.2018348574638366,7.2,Fallow,Low
-10.8323,-19.3439,8.511610000000001,1.2246467991473532e-16,-1.0,5,0.2032145261764526,12.2,Fallow,Medium
-12.4923,-17.7005,5.20824,1.2246467991473532e-16,-1.0,5,0.1229736804962158,3.6,Fallow,Low
-13.3514,-18.0166,4.665190000000001,1.2246467991473532e-16,-1.0,5,0.1479028761386871,3.5,Fallow,Low
-12.4104,-19.671,7.2605699999999995,1.2246467991473532e-16,-1.0,5,0.1681998074054718,5.0,Fallow,Low
-11.447,-19.2646,7.817580000000001,1.2246467991473532e-16,-1.0,5,0.1950772553682327,4.1,Fallow,Low
-11.8544,-17.1477,5.293379999999999,1.2246467991473532e-16,-1.0,5,0.2304141670465469,2.0,Fallow,Low
-9.8558,-18.1235,8.267759999999999,1.2246467991473532e-16,-1.0,5,0.2288556098937988,3.3,Fallow,Low
-8.8256,-17.0347,8.20909,1.2246467991473532e-16,-1.0,5,0.2522754967212677,26.5,Fallow,High
-12.1764,-19.5592,7.38284,1.2246467991473532e-16,-1.0,5,0.1699617058038711,3.56666666666667,Fallow,Low
-8.5056,-15.9439,7.438319999999999,1.2246467991473532e-16,-1.0,5,0.4230203926563263,3.5,Fallow,Low
-9.6155,-16.5874,6.971939999999998,1.2246467991473532e-16,-1.0,19,0.4611636102199554,9.7,Perl Millet,Low
-8.4832,-14.9262,6.44304,1.2246467991473532e-16,-1.0,19,0.4989926517009735,8.1,Perl Millet,Low
-9.2536,-16.7552,7.501579999999999,1.2246467991473532e-16,-1.0,5,0.2352175712585449,4.2,Fallow,Low
-7.7684,-15.9364,8.168009999999999,1.2246467991473532e-16,-1.0,19,0.3581953048706054,9.8,Perl Millet,Low
-10.4109,-17.8677,7.456760000000001,1.2246467991473532e-16,-1.0,5,0.1833329051733017,2.3,Fallow,Low
-11.2814,-19.2223,7.94093,1.2246467991473532e-16,-1.0,5,0.1747739613056183,3.8,Fallow,Low
-14.3259,-18.3308,4.004910000000001,1.2246467991473532e-16,-1.0,5,0.3277634084224701,5.8,Fallow,Low
-12.17,-15.8919,3.7218199999999992,1.2246467991473532e-16,-1.0,5,0.1411450505256652,3.4,Fallow,Low
-10.31,-18.0131,7.703139999999998,1.2246467991473532e-16,-1.0,5,0.2242297232151031,3.73333333333333,Fallow,Low
-10.9712,-19.1512,8.18006,1.2246467991473532e-16,-1.0,5,0.131611555814743,5.8,Fallow,Low
