HH-pol,HV-pol,SM1 (%),Crop Name,label,NDVI,DpRVI,Depolarization_Rate
-9.83582,-15.61723,32.1,Fallow,Very High,0.321190595626831,0.5395467295058795,0.26415510002581116
-9.15462,-14.64847,5.86666666666667,Fallow,Low,0.153962641954422,0.5634403623010714,0.28223768418773243
-5.9622,-16.00036,14.4,Fallow,Medium,0.129482075572014,0.2542897193087901,0.09912518252083599
-7.39929,-16.99431,23.3,Fallow,High,0.429012358188629,0.2771775033538024,0.10977362349998923
-12.4412,-18.07345,4.3,Fallow,Low,0.140436917543411,0.5518899919415097,0.27338520008043715
-9.06017,-20.28106,40.6,Fallow,Very High,0.140852674841881,0.2007289749335628,0.07549375024143577
-10.5291,-19.31998,25.4666666666667,Fallow,High,0.150280177593231,0.3228317817818285,0.13210279304940512
-9.95405,-12.73768,4.5,Fallow,Low,0.556474447250366,0.7969999047109447,0.526789366581841
-9.48952,-17.54862,52.2,Dalia,Very High,0.726760566234589,0.3690611132293303,0.15634716114496622
-10.76591,-18.80001,25.1,Perl Millet,High,0.203382670879364,0.37071890887145453,0.15724976315639896
-12.10011,-13.80231,17.2,Jowar,High,0.240473061800003,0.8845273776145943,0.6757405796350258
-10.91712,-19.1987,5.2,Fallow,Low,0.761480927467346,0.35453512241255836,0.1485395144676832
-7.81574,-18.94311,4.8,Fallow,Low,0.163861215114594,0.20458223247966068,0.07713704540783921
-6.59767,-18.39282,27.4,Fallow,High,0.360154747962952,0.1784211656329276,0.06614316920482238
-10.1896,-14.50748,37.3,Fallow,Very High,0.25878319144249,0.664349089657069,0.37000875475133066
-9.96887,-15.24612,8.2,Fallow,Medium,0.403027445077896,0.5816892621560023,0.2966709347587562
-12.61298,-20.17157,5.86666666666667,Fallow,Low,0.228456914424896,0.4032189812713968,0.1754450017020318
-13.38488,-19.73572,4.1,Fallow,Low,0.274163573980331,0.4935602902767512,0.23169464694492242
-9.36742,-16.36509,3.5,Fallow,Low,0.132148012518883,0.44384995377539066,0.1996333065047444
-8.86449,-15.5614,4.0,Fallow,Low,0.23590150475502,0.46660292623428906,0.21394837882291745
-10.81193,-15.77439,3.8,Fallow,Low,0.245183885097504,0.6085354440834243,0.31897305652837654
-12.77497,-17.40721,5.13333333333333,Fallow,Low,0.133208259940147,0.6370224341318018,0.344172368074947
-9.92453,-18.7951,3.6,Fallow,Low,0.178557351231575,0.3180671982512668,0.1297009030813804
-11.65075,-17.92907,5.1,Fallow,Low,0.199136063456535,0.49930886349724335,0.2355960473955323
-12.55268,-17.39989,16.0,Fallow,Medium,0.166531935334206,0.6184452585814697,0.32755105305630033
-8.42385,-19.05501,2.8,Fallow,Low,0.214285716414452,0.22610395043584816,0.08647369168080245
-10.12433,-19.84436,10.7666666666667,Fallow,Medium,0.314258456230164,0.2705596482733604,0.10665887534707177
-8.62324,-17.74773,3.2,Fallow,Low,0.21103447675705,0.3032392649200122,0.12233507709467956
-13.38404,-18.17859,6.5,Fallow,Low,0.212167888879776,0.6229855657812685,0.3315469217070835
-9.93938,-18.48502,6.0,Fallow,Low,0.151119396090508,0.3378274761857599,0.1397770917010113
-12.57221,-19.60516,4.9,Fallow,Low,0.151459008455277,0.44122400105976806,0.19801815056332592
-11.58666,-22.13792,6.06666666666667,Fallow,Low,0.201013520359993,0.22974249246550082,0.08807932951445133
-11.84989,-18.48023,9.6,Fallow,Medium,0.197877183556557,0.4717255987156461,0.21725310893240443
-10.29152,-16.81516,3.4,Fallow,Low,0.194341033697128,0.47999963959121256,0.22265681889613917
-11.18491,-20.68605,21.8,Fallow,High,0.457652300596237,0.2822314599314534,0.11217239690558312
-9.20688,-19.93405,5.9,Fallow,Low,0.260567158460617,0.22179608999657166,0.08458298350525263
-9.82747,-20.41621,4.6,Fallow,Low,0.202312141656876,0.22802962303864338,0.08732246765802382
-11.9066,-15.6542,3.9,Fallow,Low,0.452464789152145,0.7140931675393664,0.4219296059310666
