HH-pol,HV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,SM1 (%),Crop Name,label
-11.05268,-20.60588,9.553199999999999,1.2246467991473532e-16,-1.0,19,5.6,Perl Millet,Low
-10.55465,-18.73426,8.179609999999998,1.2246467991473532e-16,-1.0,5,3.63333333333333,Fallow,Low
-8.04576,-16.04432,7.9985599999999994,1.2246467991473532e-16,-1.0,5,4.8,Fallow,Low
-11.49121,-14.58091,3.089699999999999,1.2246467991473532e-16,-1.0,5,6.0,Fallow,Low
-12.41822,-19.93744,7.519219999999999,1.2246467991473532e-16,-1.0,5,7.0,Fallow,Low
-8.47065,-18.07469,9.604040000000001,1.2246467991473532e-16,-1.0,5,6.1,Fallow,Low
-9.38149,-15.65567,6.274180000000001,1.2246467991473532e-16,-1.0,5,4.66666666666667,Fallow,Low
-9.76782,-19.85343,10.085609999999999,1.2246467991473532e-16,-1.0,5,5.6,Fallow,Low
-8.08993,-20.00043,11.9105,1.2246467991473532e-16,-1.0,5,6.0,Fallow,Low
-13.25882,-19.69639,6.437570000000001,1.2246467991473532e-16,-1.0,5,7.5,Fallow,Low
-12.57703,-18.34802,5.770990000000001,1.2246467991473532e-16,-1.0,5,6.0,Fallow,Low
-12.42413,-21.58351,9.15938,1.2246467991473532e-16,-1.0,5,4.23333333333333,Fallow,Low
-8.81033,-16.99902,8.188690000000001,1.2246467991473532e-16,-1.0,5,4.5,Fallow,Low
-9.55602,-20.43587,10.879850000000001,1.2246467991473532e-16,-1.0,5,4.4,Fallow,Low
-10.88357,-19.17058,8.28701,1.2246467991473532e-16,-1.0,5,4.9,Fallow,Low
-9.89672,-18.51013,8.61341,1.2246467991473532e-16,-1.0,5,5.1,Fallow,Low
-9.94744,-19.98977,10.04233,1.2246467991473532e-16,-1.0,5,5.23333333333333,Fallow,Low
-9.73473,-17.54627,7.811539999999999,1.2246467991473532e-16,-1.0,5,3.1,Fallow,Low
-8.39772,-18.18887,9.791150000000002,1.2246467991473532e-16,-1.0,5,3.4,Fallow,Low
-10.90219,-20.4282,9.526010000000001,1.2246467991473532e-16,-1.0,5,5.3,Fallow,Low
-9.06636,-20.15195,11.08559,1.2246467991473532e-16,-1.0,5,5.9,Fallow,Low
-9.98621,-19.54142,9.555209999999999,1.2246467991473532e-16,-1.0,5,5.1,Fallow,Low
-13.52166,-18.06394,4.542279999999998,1.2246467991473532e-16,-1.0,5,5.3,Fallow,Low
-9.53244,-21.01332,11.48088,1.2246467991473532e-16,-1.0,5,2.0,Fallow,Low
-12.92742,-18.34117,5.413750000000002,1.2246467991473532e-16,-1.0,5,5.6,Fallow,Low
-12.30961,-18.75179,6.4421800000000005,1.2246467991473532e-16,-1.0,5,4.5,Fallow,Low
-7.23649,-17.44619,10.209700000000002,1.2246467991473532e-16,-1.0,5,2.9,Fallow,Low
-5.30355,-16.9171,11.61355,1.2246467991473532e-16,-1.0,5,4.4,Fallow,Low
-10.80022,-20.36597,9.565750000000001,1.2246467991473532e-16,-1.0,5,5.2,Fallow,Low
-9.4701,-20.03633,10.56623,1.2246467991473532e-16,-1.0,5,4.4,Fallow,Low
-8.81859,-20.72062,11.90203,1.2246467991473532e-16,-1.0,5,6.33333333333333,Fallow,Low
-6.31535,-14.88891,8.57356,1.2246467991473532e-16,-1.0,5,5.9,Fallow,Low
-10.88244,-17.12181,6.239369999999999,1.2246467991473532e-16,-1.0,5,9.6,Fallow,Low
-13.55108,-17.08879,3.537709999999999,1.2246467991473532e-16,-1.0,5,10.6,Fallow,Medium
-6.13137,-14.66002,8.528649999999999,1.2246467991473532e-16,-1.0,5,8.4,Fallow,Low
-5.91162,-15.37017,9.458549999999999,1.2246467991473532e-16,-1.0,11,3.0,Jowar,Low
-10.59007,-20.75805,10.16798,1.2246467991473532e-16,-1.0,5,5.2,Fallow,Low
-11.84047,-20.21469,8.374220000000001,1.2246467991473532e-16,-1.0,5,3.6,Fallow,Low
-12.92395,-17.17836,4.254410000000002,1.2246467991473532e-16,-1.0,5,4.0,Fallow,Low
-11.04887,-19.74615,8.69728,1.2246467991473532e-16,-1.0,5,14.3,Fallow,Medium
-10.3795,-19.64087,9.26137,1.2246467991473532e-16,-1.0,5,4.73333333333333,Fallow,Low
-10.67191,-17.0116,6.339690000000001,1.2246467991473532e-16,-1.0,5,8.8,Fallow,Low
-11.12071,-17.89982,6.7791099999999975,1.2246467991473532e-16,-1.0,5,7.5,Fallow,Low
-6.98058,-19.11699,12.136410000000001,1.2246467991473532e-16,-1.0,5,16.5,Fallow,Medium
-11.10559,-15.65273,4.547140000000001,1.2246467991473532e-16,-1.0,5,5.1,Fallow,Low
-12.85345,-16.76506,3.911609999999998,1.2246467991473532e-16,-1.0,5,5.03333333333333,Fallow,Low
-10.27833,-19.20464,8.92631,1.2246467991473532e-16,-1.0,5,10.1,Fallow,Medium
-11.12096,-18.51127,7.3903099999999995,1.2246467991473532e-16,-1.0,5,4.0,Fallow,Low
-10.82477,-17.25841,6.433640000000002,1.2246467991473532e-16,-1.0,5,10.9,Fallow,Medium
-9.44621,-20.6972,11.250989999999998,1.2246467991473532e-16,-1.0,5,12.1,Fallow,Medium
-8.39153,-21.29637,12.90484,1.2246467991473532e-16,-1.0,11,7.6,Jowar,Low
-11.58569,-18.73344,7.147750000000002,1.2246467991473532e-16,-1.0,5,4.5,Fallow,Low
-11.61284,-21.14886,9.536019999999999,1.2246467991473532e-16,-1.0,5,9.2,Fallow,Low
-10.98072,-20.57076,9.59004,1.2246467991473532e-16,-1.0,5,8.6,Fallow,Low
-11.73344,-14.9529,3.2194599999999998,1.2246467991473532e-16,-1.0,5,5.3,Fallow,Low
-12.89758,-22.37228,9.4747,1.2246467991473532e-16,-1.0,5,8.8,Fallow,Low
-11.03072,-22.94161,11.91089,1.2246467991473532e-16,-1.0,5,7.9,Fallow,Low
-9.26711,-18.83701,9.569899999999999,1.2246467991473532e-16,-1.0,5,8.0,Fallow,Low
