VH-pol,VV-pol,cross_pol_ratio,month_sin,month_cos,crop_encoded,SM1 (%),Crop Name,label
-17.1492,-10.9413,-6.2079,1.2246467991473532e-16,-1.0,2,7.2,Fallow,Low
-18.0649,-11.2671,-6.797800000000002,1.2246467991473532e-16,-1.0,2,13.233333333333334,Fallow,Medium
-19.5577,-10.9837,-8.574,1.2246467991473532e-16,-1.0,2,10.3,Fallow,Low
-18.5045,-11.2387,-7.2658000000000005,1.2246467991473532e-16,-1.0,2,11.4,Fallow,Low
-17.6222,-11.2284,-6.393799999999999,1.2246467991473532e-16,-1.0,2,17.6,Fallow,Medium
-17.0767,-9.85492,-7.221779999999999,1.2246467991473532e-16,-1.0,5,26.0,Jowar,High
-18.6473,-9.86775,-8.779550000000002,1.2246467991473532e-16,-1.0,2,7.333333333333334,Fallow,Low
-20.9566,-11.1439,-9.812700000000001,1.2246467991473532e-16,-1.0,2,10.2,Fallow,Low
-18.2791,-10.2719,-8.0072,1.2246467991473532e-16,-1.0,2,8.5,Fallow,Low
-19.2943,-9.95678,-9.33752,1.2246467991473532e-16,-1.0,2,8.0,Fallow,Low
-20.0475,-11.714,-8.333499999999999,1.2246467991473532e-16,-1.0,2,8.1,Fallow,Low
-20.9262,-12.143,-8.7832,1.2246467991473532e-16,-1.0,2,9.233333333333334,Fallow,Low
-17.9532,-9.68481,-8.268389999999998,1.2246467991473532e-16,-1.0,2,6.6,Fallow,Low
-18.7665,-10.8294,-7.937100000000001,1.2246467991473532e-16,-1.0,2,17.2,Fallow,Medium
-17.7435,-10.0962,-7.647300000000001,1.2246467991473532e-16,-1.0,2,3.9,Fallow,Low
-16.7058,-9.20135,-7.50445,1.2246467991473532e-16,-1.0,2,5.7,Fallow,Low
-18.4119,-11.1084,-7.3035,1.2246467991473532e-16,-1.0,2,8.766666666666667,Fallow,Low
-18.6308,-11.0765,-7.554300000000001,1.2246467991473532e-16,-1.0,2,7.2,Fallow,Low
-19.1417,-11.8857,-7.256,1.2246467991473532e-16,-1.0,2,13.3,Fallow,Medium
-17.2233,-10.5804,-6.642899999999999,1.2246467991473532e-16,-1.0,2,8.2,Fallow,Low
-17.1753,-10.3998,-6.775499999999999,1.2246467991473532e-16,-1.0,2,8.9,Fallow,Low
-18.8407,-11.2846,-7.556099999999999,1.2246467991473532e-16,-1.0,2,8.933333333333334,Fallow,Low
-17.3488,-9.51952,-7.829280000000001,1.2246467991473532e-16,-1.0,2,9.7,Fallow,Low
-17.6706,-9.78728,-7.883319999999999,1.2246467991473532e-16,-1.0,2,17.9,Fallow,Medium
-17.7034,-9.39977,-8.303629999999998,1.2246467991473532e-16,-1.0,2,12.6,Fallow,Medium
-16.0339,-10.5933,-5.4406,1.2246467991473532e-16,-1.0,2,18.7,Fallow,Medium
-16.9512,-8.96177,-7.9894300000000005,1.2246467991473532e-16,-1.0,2,9.1,Fallow,Low
-17.1563,-10.8594,-6.296900000000001,1.2246467991473532e-16,-1.0,2,11.9,Fallow,Medium
-18.5095,-12.2991,-6.2104,1.2246467991473532e-16,-1.0,2,12.5,Fallow,Medium
-18.4798,-10.8249,-7.654900000000001,1.2246467991473532e-16,-1.0,2,12.1,Fallow,Medium
-19.4062,-11.0028,-8.403399999999998,1.2246467991473532e-16,-1.0,2,8.9,Fallow,Low
-19.7324,-12.7838,-6.948599999999999,1.2246467991473532e-16,-1.0,2,15.833333333333332,Fallow,Medium
-17.8514,-9.53301,-8.31839,1.2246467991473532e-16,-1.0,2,11.7,Fallow,Low
-18.0516,-10.3351,-7.7165,1.2246467991473532e-16,-1.0,2,17.4,Fallow,Medium
-17.7253,-10.8849,-6.840400000000001,1.2246467991473532e-16,-1.0,2,9.4,Fallow,Low
-19.2972,-11.8369,-7.4603,1.2246467991473532e-16,-1.0,2,10.1,Fallow,Low
-18.5062,-9.65209,-8.85411,1.2246467991473532e-16,-1.0,2,19.9,Fallow,Medium
-14.899,-9.89168,-5.00732,1.2246467991473532e-16,-1.0,6,13.2,Kshan,Medium
-16.0534,-9.39267,-6.660729999999999,1.2246467991473532e-16,-1.0,2,15.9,Fallow,Medium
-18.6605,-12.3514,-6.309099999999999,1.2246467991473532e-16,-1.0,2,15.0,Fallow,Medium
-18.3215,-11.6278,-6.6937,1.2246467991473532e-16,-1.0,2,13.9,Fallow,Medium
-16.5305,-10.2434,-6.287100000000001,1.2246467991473532e-16,-1.0,2,13.6,Fallow,Medium
-16.7013,-10.1378,-6.5634999999999994,1.2246467991473532e-16,-1.0,2,12.9,Fallow,Medium
-17.0844,-11.3743,-5.710099999999999,1.2246467991473532e-16,-1.0,2,9.9,Fallow,Low
-16.5994,-10.1198,-6.4796,1.2246467991473532e-16,-1.0,2,14.1,Fallow,Medium
-15.251,-10.4677,-4.783299999999999,1.2246467991473532e-16,-1.0,5,27.4,Jowar,High
-16.6831,-10.2819,-6.401199999999999,1.2246467991473532e-16,-1.0,2,10.966666666666667,Fallow,Low
-16.0747,-11.2853,-4.7894000000000005,1.2246467991473532e-16,-1.0,2,14.8,Fallow,Medium
-17.487,-9.3182,-8.1688,1.2246467991473532e-16,-1.0,2,21.4,Fallow,Medium
-16.8187,-9.24223,-7.5764700000000005,1.2246467991473532e-16,-1.0,2,12.7,Fallow,Medium
-17.4671,-10.1068,-7.360299999999999,1.2246467991473532e-16,-1.0,2,12.4,Fallow,Medium
-15.7395,-10.477,-5.262499999999999,1.2246467991473532e-16,-1.0,2,21.1,Fallow,Medium
-19.1895,-11.367,-7.822499999999998,1.2246467991473532e-16,-1.0,2,14.8,Fallow,Medium
-18.713,-13.2955,-5.4175,1.2246467991473532e-16,-1.0,2,15.8,Fallow,Medium
-19.2663,-12.5666,-6.699700000000002,1.2246467991473532e-16,-1.0,2,11.1,Fallow,Low
-19.899,-11.8056,-8.0934,1.2246467991473532e-16,-1.0,2,14.2,Fallow,Medium
-19.4608,-12.0293,-7.4315,1.2246467991473532e-16,-1.0,2,7.8,Fallow,Low
-11.2685,-1.48456,-9.78394,1.2246467991473532e-16,-1.0,2,7.5,Fallow,Low
-18.2565,-10.5027,-7.753799999999998,1.2246467991473532e-16,-1.0,2,14.0,Fallow,Medium
-18.0934,-10.1649,-7.9285,1.2246467991473532e-16,-1.0,2,13.5,Fallow,Medium
-16.6025,-11.1404,-5.4620999999999995,1.2246467991473532e-16,-1.0,5,24.3,Jowar,Medium
-16.7281,-10.2646,-6.463500000000002,1.2246467991473532e-16,-1.0,2,14.233333333333333,Fallow,Medium
-20.4826,-11.6595,-8.823100000000002,1.2246467991473532e-16,-1.0,2,10.1,Fallow,Low
-18.9009,-9.77062,-9.13028,1.2246467991473532e-16,-1.0,2,20.4,Fallow,Medium
-19.8562,-11.3501,-8.506100000000002,1.2246467991473532e-16,-1.0,2,18.1,Fallow,Medium
-19.4171,-11.3875,-8.029600000000002,1.2246467991473532e-16,-1.0,2,17.5,Fallow,Medium
-19.8455,-11.5504,-8.295100000000001,1.2246467991473532e-16,-1.0,2,17.466666666666665,Fallow,Medium
-18.2091,-11.8073,-6.4018,1.2246467991473532e-16,-1.0,11,50.0,Paddy,Very High
-19.2384,-8.37377,-10.864629999999998,1.2246467991473532e-16,-1.0,11,50.0,Paddy,Very High
-18.4955,-8.82779,-9.66771,1.2246467991473532e-16,-1.0,11,50.0,Paddy,Very High
-18.841,-10.618,-8.223,1.2246467991473532e-16,-1.0,2,12.3,Fallow,Medium
-18.8167,-10.0774,-8.7393,1.2246467991473532e-16,-1.0,2,13.9,Fallow,Medium
-19.8318,-11.511,-8.320800000000002,1.2246467991473532e-16,-1.0,2,14.7,Fallow,Medium
-20.4582,-10.0108,-10.447400000000002,1.2246467991473532e-16,-1.0,2,17.8,Fallow,Medium
-19.9907,-11.1097,-8.881,1.2246467991473532e-16,-1.0,2,17.1,Fallow,Medium
-19.3193,-12.2043,-7.114999999999998,1.2246467991473532e-16,-1.0,2,12.8,Fallow,Medium
-19.011,-10.4794,-8.5316,1.2246467991473532e-16,-1.0,2,20.9,Fallow,Medium
-17.7328,-8.84038,-8.892420000000001,1.2246467991473532e-16,-1.0,2,10.2,Fallow,Low
-18.0194,-10.5218,-7.4976,1.2246467991473532e-16,-1.0,2,14.1,Fallow,Medium
-17.543,-10.8355,-6.7075,1.2246467991473532e-16,-1.0,2,15.033333333333333,Fallow,Medium
-19.3344,-9.45259,-9.881809999999998,1.2246467991473532e-16,-1.0,2,14.8,Fallow,Medium
-18.6981,-9.67612,-9.021980000000001,1.2246467991473532e-16,-1.0,2,10.0,Fallow,Low
-16.6612,-9.4944,-7.1668,1.2246467991473532e-16,-1.0,2,6.7,Fallow,Low
-17.6278,-10.69,-6.937800000000001,1.2246467991473532e-16,-1.0,2,10.0,Fallow,Low
-17.8727,-10.0221,-7.850599999999998,1.2246467991473532e-16,-1.0,2,16.7,Fallow,Medium
-17.2614,-10.4076,-6.853799999999998,1.2246467991473532e-16,-1.0,12,39.8,Paddy&Dharu,Very High
-17.7807,-10.0919,-7.688799999999999,1.2246467991473532e-16,-1.0,2,13.7,Fallow,Medium
-18.6389,-8.69698,-9.94192,1.2246467991473532e-16,-1.0,2,13.8,Fallow,Medium
-16.7895,-10.2888,-6.5007,1.2246467991473532e-16,-1.0,2,14.0,Fallow,Medium
