VH-pol,VV-pol,SM1 (%),Crop Name,label,NDVI
-19.8318,-11.511,14.7,Fallow,Medium,0.1244939267635345
-20.4582,-10.0108,17.8,Fallow,Medium,0.1197349727153778
-19.9907,-11.1097,17.1,Fallow,Medium,0.1362955570220947
-19.3193,-12.2043,12.8,Fallow,Medium,0.1012203842401504
-19.011,-10.4794,20.9,Fallow,Medium,0.0968224331736564
-17.7328,-8.84038,10.2,Fallow,Low,0.0884157344698906
-18.0194,-10.5218,14.1,Fallow,Medium,0.1072691529989242
-17.543,-10.8355,15.03333333333333,Fallow,Medium,0.0840602666139602
-19.3344,-9.45259,14.8,Fallow,Medium,0.249140053987503
-18.6981,-9.67612,10.0,Fallow,Low,0.1402404159307479
-16.6612,-9.4944,6.7,Fallow,Low,0.136817380785942
-17.6278,-10.69,10.0,Fallow,Low,0.0949345827102661
-17.8727,-10.0221,16.7,Fallow,Medium,0.2068800777196884
-17.2614,-10.4076,39.8,Paddy&Dharu,Very High,0.2853025794029236
-17.7807,-10.0919,13.7,Fallow,Medium,0.1855983734130859
-18.6389,-8.69698,13.8,Fallow,Medium,0.1402085721492767
-16.7895,-10.2888,14.0,Fallow,Medium,0.0765492096543312
-17.3223,-9.6936,12.16666666666667,Fallow,Medium,0.095238097012043
-16.0042,-9.49041,14.7,Fallow,Medium,0.1659919023513794
-16.8308,-9.67217,22.7,Fallow,High,0.1202084124088287
-18.9629,-11.1832,10.6,Fallow,Low,0.0954616591334343
-16.2654,-8.59556,9.5,Fallow,Low,0.1643678098917007
-17.3359,-9.14075,10.76666666666667,Fallow,Low,0.1196054220199585
