lr,n_estimators,tau_lo,tau_hi,min_samples_leaf,max_depth,subsample,q_hat,base_w_te,val_PICP,val_MPIW,test_PICP,test_MPIW
0.02,500,0.15,0.85,15,5,0.9,5.418191,14.8042,0.877451,25.166967,0.868293,25.640578
0.02,500,0.15,0.85,15,5,1.0,5.651654,15.0071,0.887255,25.916037,0.892683,26.310399
0.02,500,0.15,0.85,18,4,0.8,5.338049,15.3692,0.887255,25.657649,0.868293,26.045317
0.02,500,0.15,0.85,18,4,0.9,5.590026,15.4881,0.892157,26.268141,0.882927,26.668138
0.02,500,0.15,0.85,18,4,1.0,5.612254,15.5332,0.887255,26.21338,0.878049,26.757668
0.02,500,0.15,0.85,18,5,0.8,5.60891,14.8663,0.882353,25.750125,0.868293,26.084148
0.02,500,0.15,0.85,18,5,0.9,5.658676,14.9623,0.887255,25.829559,0.873171,26.279617
0.02,500,0.15,0.85,18,5,1.0,5.228882,14.746,0.887255,24.942303,0.868293,25.203722
0.02,500,0.15,0.85,20,4,0.8,5.343504,15.3778,0.887255,25.623139,0.887805,26.064828
0.02,500,0.15,0.85,20,4,0.9,5.589728,15.399,0.887255,26.182674,0.882927,26.57845
0.02,500,0.15,0.85,20,4,1.0,5.870992,15.4951,0.901961,26.796607,0.887805,27.23706
0.02,500,0.15,0.85,20,5,0.8,5.851624,14.7284,0.901961,26.018136,0.878049,26.431682
0.02,500,0.15,0.85,20,5,0.9,6.27763,14.7955,0.892157,27.040165,0.902439,27.350789
0.02,500,0.15,0.85,20,5,1.0,5.09009,14.5844,0.877451,24.44162,0.868293,24.764575
0.02,500,0.15,0.85,22,4,0.8,5.310382,15.3833,0.882353,25.542394,0.863415,26.004089
0.02,500,0.15,0.85,22,4,0.9,5.30585,15.4321,0.882353,25.637193,0.868293,26.043758
0.02,500,0.15,0.85,22,4,1.0,5.647617,15.4321,0.897059,26.334412,0.902439,26.72732
0.02,500,0.15,0.85,22,5,0.8,5.981271,14.6766,0.887255,26.263417,0.887805,26.63917
0.02,500,0.15,0.85,22,5,0.9,5.944458,14.7199,0.882353,26.269222,0.897561,26.60884
0.02,500,0.15,0.85,22,5,1.0,5.547236,14.6836,0.887255,25.410183,0.878049,25.778064
0.02,500,0.15,0.85,25,4,0.8,5.645501,15.4545,0.887255,26.244828,0.868293,26.745513
0.02,500,0.15,0.85,25,4,0.9,5.343385,15.5626,0.892157,25.798552,0.873171,26.249367
0.02,500,0.15,0.85,25,4,1.0,5.248088,15.5341,0.872549,25.621484,0.897561,26.030252
0.02,500,0.15,0.85,25,5,0.8,5.512535,14.7959,0.887255,25.402325,0.868293,25.820923
0.02,500,0.15,0.85,25,5,0.9,5.604794,14.8666,0.882353,25.678947,0.873171,26.076155
0.02,500,0.15,0.85,25,5,1.0,6.306804,14.8289,0.892157,27.02459,0.902439,27.442544
0.02,500,0.15,0.85,30,4,0.8,5.377113,15.4555,0.892157,25.6864,0.868293,26.209738
0.02,500,0.15,0.85,30,4,0.9,5.239689,15.5903,0.887255,25.515695,0.878049,26.0697
0.02,500,0.15,0.85,30,4,1.0,5.633508,15.3537,0.892157,26.131148,0.887805,26.620686
0.02,500,0.15,0.85,30,5,0.8,5.303682,14.9394,0.892157,25.061995,0.868293,25.546802
0.02,500,0.15,0.85,30,5,0.9,5.716195,14.7543,0.892157,25.705149,0.868293,26.18672
0.02,500,0.15,0.85,30,5,1.0,6.216724,14.7143,0.897059,26.670327,0.892683,27.147797
0.02,500,0.2,0.8,15,4,0.8,6.814392,12.8269,0.877451,25.859333,0.878049,26.455639
0.02,500,0.2,0.8,15,4,0.9,6.712468,12.8989,0.877451,25.730966,0.897561,26.323829
0.02,500,0.2,0.8,15,4,1.0,6.864362,12.9831,0.887255,26.063372,0.887805,26.711786
0.02,500,0.2,0.8,15,5,0.8,7.333534,12.1292,0.867647,26.336383,0.878049,26.796303
0.02,500,0.2,0.8,15,5,0.9,7.235269,12.4437,0.882353,26.297125,0.887805,26.914192
0.02,500,0.2,0.8,15,5,1.0,7.026557,12.7523,0.877451,26.067779,0.882927,26.805455
0.02,500,0.2,0.8,18,4,0.8,6.94846,12.7785,0.887255,26.142632,0.878049,26.675383
0.02,500,0.2,0.8,18,4,0.9,7.171592,12.9023,0.877451,26.63328,0.887805,27.24547
0.02,500,0.2,0.8,18,4,1.0,7.292306,13.0275,0.892157,26.948121,0.892683,27.612122
0.02,500,0.2,0.8,18,5,0.8,7.392106,12.2585,0.877451,26.586971,0.892683,27.042717
0.02,500,0.2,0.8,18,5,0.9,6.992323,12.3862,0.872549,25.799366,0.873171,26.370853
0.02,500,0.2,0.8,18,5,1.0,7.203296,12.6025,0.872549,26.454187,0.878049,27.009057
0.02,500,0.2,0.8,20,4,0.8,7.177038,12.7466,0.882353,26.659941,0.892683,27.100664
0.02,500,0.2,0.8,20,4,0.9,6.999617,12.8005,0.867647,26.145332,0.887805,26.799778
0.02,500,0.2,0.8,20,4,1.0,7.292289,13.1013,0.897059,27.028136,0.892683,27.68585
0.02,500,0.2,0.8,20,5,0.8,7.589358,12.0281,0.882353,26.759259,0.887805,27.206862
0.02,500,0.2,0.8,20,5,0.9,7.827979,12.3675,0.892157,27.47443,0.902439,28.023411
0.02,500,0.2,0.8,20,5,1.0,7.528227,12.7752,0.892157,27.313759,0.882927,27.831672
0.02,500,0.2,0.8,22,4,0.8,6.566121,12.7107,0.877451,25.347094,0.868293,25.842953
0.02,500,0.2,0.8,22,4,0.9,7.277115,12.9471,0.877451,27.005676,0.902439,27.501348
0.02,500,0.2,0.8,22,4,1.0,7.532998,13.0156,0.882353,27.467232,0.902439,28.081628
0.02,500,0.2,0.8,22,5,0.8,7.333234,12.0994,0.867647,26.243349,0.887805,26.765913
0.02,500,0.2,0.8,22,5,0.9,7.744147,12.3613,0.887255,27.384266,0.902439,27.849566
0.02,500,0.2,0.8,22,5,1.0,7.590315,12.5865,0.887255,27.138456,0.897561,27.767096
0.02,500,0.2,0.8,25,4,0.8,7.151499,12.7439,0.887255,26.604086,0.897561,27.046941
0.02,500,0.2,0.8,25,4,0.9,6.560823,12.9067,0.862745,25.449842,0.878049,26.028348
0.02,500,0.2,0.8,25,4,1.0,7.109554,13.2776,0.892157,26.729595,0.897561,27.496714
0.02,500,0.2,0.8,25,5,0.8,7.428071,12.2244,0.882353,26.55872,0.887805,27.080585
0.02,500,0.2,0.8,25,5,0.9,7.765156,12.1893,0.887255,27.308506,0.902439,27.719624
0.02,500,0.2,0.8,25,5,1.0,7.434809,12.6193,0.882353,26.971948,0.892683,27.488885
0.02,500,0.2,0.8,30,4,0.8,6.769633,12.6992,0.887255,25.744869,0.873171,26.238438
0.02,500,0.2,0.8,30,4,0.9,7.102426,12.7556,0.897059,26.440442,0.892683,26.960453
0.02,500,0.2,0.8,30,4,1.0,7.161036,13.2799,0.882353,26.851835,0.892683,27.601979
0.02,500,0.2,0.8,30,5,0.8,7.19133,12.2227,0.887255,26.114558,0.882927,26.605342
0.02,500,0.2,0.8,30,5,0.9,7.154531,12.4144,0.887255,26.130829,0.878049,26.723475
0.02,500,0.2,0.8,30,5,1.0,6.895808,12.5035,0.877451,25.668154,0.863415,26.295161
0.02,550,0.15,0.85,15,4,0.8,5.52219,15.3499,0.887255,26.036336,0.873171,26.394277
0.02,550,0.15,0.85,15,4,0.9,5.502095,15.4849,0.892157,26.021752,0.878049,26.489081
0.02,550,0.15,0.85,15,4,1.0,5.676107,15.57,0.892157,26.49322,0.887805,26.92225
0.02,550,0.15,0.85,15,5,0.8,6.289531,14.617,0.892157,26.766522,0.887805,27.196048
0.02,550,0.15,0.85,15,5,0.9,5.548809,14.6632,0.877451,25.312202,0.863415,25.760787
0.02,550,0.15,0.85,15,5,1.0,5.649903,14.8234,0.887255,25.730444,0.887805,26.123238
0.02,550,0.15,0.85,18,4,0.8,5.394973,15.2369,0.887255,25.643953,0.868293,26.026875
0.02,550,0.15,0.85,18,4,0.9,5.609612,15.3189,0.892157,26.129158,0.882927,26.538145
0.02,550,0.15,0.85,18,4,1.0,5.792629,15.407,0.887255,26.424568,0.882927,26.992234
0.02,550,0.15,0.85,18,5,0.8,5.845628,14.7128,0.882353,26.097231,0.873171,26.404082
0.02,550,0.15,0.85,18,5,0.9,5.764977,14.8545,0.887255,25.943008,0.873171,26.384457
0.02,550,0.15,0.85,18,5,1.0,5.364089,14.6386,0.887255,25.11456,0.868293,25.366779
0.02,550,0.15,0.85,20,4,0.8,5.556205,15.2253,0.892157,25.900072,0.892683,26.337732
0.02,550,0.15,0.85,20,4,0.9,5.765324,15.2495,0.892157,26.385677,0.882927,26.78011
0.02,550,0.15,0.85,20,4,1.0,5.851261,15.3672,0.887255,26.630908,0.887805,27.069739
0.02,550,0.15,0.85,20,5,0.8,5.877451,14.5687,0.897059,25.911544,0.878049,26.323588
0.02,550,0.15,0.85,20,5,0.9,6.08603,14.6501,0.887255,26.514661,0.887805,26.822207
0.02,550,0.15,0.85,20,5,1.0,5.119532,14.44,0.872549,24.348628,0.858537,24.679062
0.02,550,0.15,0.85,22,4,0.8,5.385036,15.2585,0.882353,25.561193,0.868293,26.028535
0.02,550,0.15,0.85,22,4,0.9,5.403276,15.2972,0.882353,25.683667,0.868293,26.103798
0.02,550,0.15,0.85,22,4,1.0,5.445412,15.3451,0.897059,25.81978,0.878049,26.235916
0.02,550,0.15,0.85,22,5,0.8,6.101461,14.5389,0.892157,26.376355,0.892683,26.741774
0.02,550,0.15,0.85,22,5,0.9,5.946395,14.5683,0.882353,26.124771,0.887805,26.461088
0.02,550,0.15,0.85,22,5,1.0,5.556473,14.5841,0.887255,25.339283,0.873171,25.697082
0.02,550,0.15,0.85,25,4,0.8,5.706133,15.2929,0.887255,26.212113,0.873171,26.705162
0.02,550,0.15,0.85,25,4,0.9,5.44517,15.4184,0.892157,25.856702,0.882927,26.308701
0.02,550,0.15,0.85,25,4,1.0,5.676694,15.409,0.882353,26.348599,0.902439,26.762394
0.02,550,0.15,0.85,25,5,0.8,5.710682,14.6567,0.892157,25.656509,0.868293,26.078079
0.02,550,0.15,0.85,25,5,0.9,5.72443,14.7129,0.882353,25.78158,0.873171,26.161735
0.02,550,0.15,0.85,25,5,1.0,6.228149,14.7372,0.882353,26.787063,0.902439,27.193452
0.02,550,0.15,0.85,30,4,0.8,5.546541,15.2856,0.892157,25.877688,0.873171,26.378693
0.02,550,0.15,0.85,30,4,0.9,5.328127,15.4228,0.887255,25.527367,0.878049,26.079091
0.02,550,0.15,0.85,30,4,1.0,5.690731,15.2676,0.892157,26.151616,0.887805,26.649079
0.02,550,0.15,0.85,30,5,0.8,5.476319,14.8201,0.892157,25.304874,0.873171,25.77277
0.02,550,0.15,0.85,30,5,0.9,5.784714,14.634,0.892157,25.725141,0.863415,26.203397
0.02,550,0.15,0.85,30,5,1.0,6.281425,14.5943,0.887255,26.693583,0.892683,27.157159
0.02,550,0.2,0.8,15,4,0.8,6.9418,12.7411,0.877451,26.009614,0.882927,26.62471
0.02,550,0.2,0.8,15,4,0.9,6.917825,12.6908,0.882353,25.943061,0.892683,26.52643
0.02,550,0.2,0.8,15,4,1.0,6.811096,12.9086,0.887255,25.890749,0.878049,26.530743
0.02,550,0.2,0.8,15,5,0.8,7.497223,11.988,0.872549,26.545039,0.878049,26.982424
0.02,550,0.2,0.8,15,5,0.9,7.303791,12.3141,0.882353,26.323253,0.878049,26.921656
0.02,550,0.2,0.8,15,5,1.0,7.059326,12.6866,0.877451,26.071568,0.882927,26.805209
0.02,550,0.2,0.8,18,4,0.8,6.96191,12.69,0.882353,26.07915,0.873171,26.613789
0.02,550,0.2,0.8,18,4,0.9,7.238474,12.769,0.877451,26.633154,0.887805,27.245901
0.02,550,0.2,0.8,18,4,1.0,7.33881,12.9809,0.892157,27.003016,0.892683,27.658499
0.02,550,0.2,0.8,18,5,0.8,7.507886,12.0519,0.877451,26.647092,0.887805,27.067696
0.02,550,0.2,0.8,18,5,0.9,7.091191,12.2741,0.872549,25.8684,0.878049,26.456479
